ds,city,neighbourhood,forecast_month,model_level,is_scenario_proxy,yhat,yhat_lower,yhat_upper,monthly_baseline,annual_occupancy_baseline,review_growth_24_25_raw,review_growth_24_25_capped,seasonality_multiplier,momentum_multiplier,n_listings,training_start,training_end,methodology_note
2026-02-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-02,city_prophet_scaled_neighbourhood,True,3.9825,3.9331,4.0301,5.75,69.0,-0.0667,-0.0667,0.7,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-03,city_prophet_scaled_neighbourhood,True,4.9166,4.8675,4.964,5.75,69.0,-0.0667,-0.0667,0.85,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-04,city_prophet_scaled_neighbourhood,True,5.7002,5.6489,5.7501,5.75,69.0,-0.0667,-0.0667,1.0,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-05,city_prophet_scaled_neighbourhood,True,6.6362,6.589,6.6854,5.75,69.0,-0.0667,-0.0667,1.15,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-06,city_prophet_scaled_neighbourhood,True,7.1389,7.092,7.1907,5.75,69.0,-0.0667,-0.0667,1.25,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-07,city_prophet_scaled_neighbourhood,True,7.7842,7.7347,7.8359,5.75,69.0,-0.0667,-0.0667,1.35,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-08-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-08,city_prophet_scaled_neighbourhood,True,7.4343,7.3859,7.4859,5.75,69.0,-0.0667,-0.0667,1.3,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-09-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-09,city_prophet_scaled_neighbourhood,True,6.6404,6.5944,6.6903,5.75,69.0,-0.0667,-0.0667,1.15,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-10-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2025-10,city_prophet_scaled_neighbourhood,True,7.1864,7.1222,7.2515,7.25,87.0,0.0,0.0,1.0,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2025-11,city_prophet_scaled_neighbourhood,True,5.8528,5.7868,5.9104,7.25,87.0,0.0,0.0,0.8,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2025-12,city_prophet_scaled_neighbourhood,True,5.7408,5.6766,5.8009,7.25,87.0,0.0,0.0,0.8,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-01,city_prophet_scaled_neighbourhood,True,4.7551,4.6918,4.8178,7.25,87.0,0.0,0.0,0.65,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-02-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-02,city_prophet_scaled_neighbourhood,True,5.0265,4.9641,5.0865,7.25,87.0,0.0,0.0,0.7,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-03,city_prophet_scaled_neighbourhood,True,6.2054,6.1434,6.2652,7.25,87.0,0.0,0.0,0.85,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-04,city_prophet_scaled_neighbourhood,True,7.1944,7.1296,7.2574,7.25,87.0,0.0,0.0,1.0,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-05,city_prophet_scaled_neighbourhood,True,8.3757,8.3162,8.4378,7.25,87.0,0.0,0.0,1.15,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-06,city_prophet_scaled_neighbourhood,True,9.0102,8.9511,9.0756,7.25,87.0,0.0,0.0,1.25,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-07,city_prophet_scaled_neighbourhood,True,9.8247,9.7622,9.8899,7.25,87.0,0.0,0.0,1.35,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-08-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-08,city_prophet_scaled_neighbourhood,True,9.383,9.322,9.4482,7.25,87.0,0.0,0.0,1.3,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-09-01,athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2026-09,city_prophet_scaled_neighbourhood,True,8.3811,8.323,8.4441,7.25,87.0,0.0,0.0,1.15,1.0,718,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-10-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2025-10,city_prophet_scaled_neighbourhood,True,4.2915,4.2532,4.3304,4.3333,52.0,-0.0588,-0.0588,1.0,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2025-11,city_prophet_scaled_neighbourhood,True,3.4952,3.4557,3.5295,4.3333,52.0,-0.0588,-0.0588,0.8,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2025-12,city_prophet_scaled_neighbourhood,True,3.4282,3.3899,3.4642,4.3333,52.0,-0.0588,-0.0588,0.8,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-01,city_prophet_scaled_neighbourhood,True,2.8396,2.8018,2.877,4.3333,52.0,-0.0588,-0.0588,0.65,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-02-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-02,city_prophet_scaled_neighbourhood,True,3.0017,2.9644,3.0375,4.3333,52.0,-0.0588,-0.0588,0.7,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-03,city_prophet_scaled_neighbourhood,True,3.7057,3.6687,3.7414,4.3333,52.0,-0.0588,-0.0588,0.85,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-04,city_prophet_scaled_neighbourhood,True,4.2963,4.2576,4.3339,4.3333,52.0,-0.0588,-0.0588,1.0,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-05,city_prophet_scaled_neighbourhood,True,5.0018,4.9662,5.0388,4.3333,52.0,-0.0588,-0.0588,1.15,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-06,city_prophet_scaled_neighbourhood,True,5.3807,5.3453,5.4197,4.3333,52.0,-0.0588,-0.0588,1.25,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-07,city_prophet_scaled_neighbourhood,True,5.867,5.8297,5.906,4.3333,52.0,-0.0588,-0.0588,1.35,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-08-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-08,city_prophet_scaled_neighbourhood,True,5.6033,5.5668,5.6422,4.3333,52.0,-0.0588,-0.0588,1.3,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-09-01,athens,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,2026-09,city_prophet_scaled_neighbourhood,True,5.005,4.9703,5.0426,4.3333,52.0,-0.0588,-0.0588,1.15,0.9991,42,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-10-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2025-10,city_prophet_scaled_neighbourhood,True,4.7218,4.6796,4.7646,4.75,57.0,0.1909,0.1909,1.0,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2025-11,city_prophet_scaled_neighbourhood,True,3.8456,3.8022,3.8834,4.75,57.0,0.1909,0.1909,0.8,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2025-12,city_prophet_scaled_neighbourhood,True,3.772,3.7298,3.8115,4.75,57.0,0.1909,0.1909,0.8,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-01,city_prophet_scaled_neighbourhood,True,3.1243,3.0827,3.1655,4.75,57.0,0.1909,0.1909,0.65,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-02-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-02,city_prophet_scaled_neighbourhood,True,3.3026,3.2616,3.3421,4.75,57.0,0.1909,0.1909,0.7,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-03,city_prophet_scaled_neighbourhood,True,4.0772,4.0365,4.1165,4.75,57.0,0.1909,0.1909,0.85,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-04,city_prophet_scaled_neighbourhood,True,4.7271,4.6845,4.7685,4.75,57.0,0.1909,0.1909,1.0,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-05,city_prophet_scaled_neighbourhood,True,5.5032,5.4642,5.5441,4.75,57.0,0.1909,0.1909,1.15,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-06,city_prophet_scaled_neighbourhood,True,5.9201,5.8813,5.9631,4.75,57.0,0.1909,0.1909,1.25,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-07,city_prophet_scaled_neighbourhood,True,6.4553,6.4143,6.4982,4.75,57.0,0.1909,0.1909,1.35,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-08-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-08,city_prophet_scaled_neighbourhood,True,6.1651,6.125,6.2079,4.75,57.0,0.1909,0.1909,1.3,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-09-01,athens,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,2026-09,city_prophet_scaled_neighbourhood,True,5.5068,5.4686,5.5482,4.75,57.0,0.1909,0.1909,1.15,1.0029,70,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-10-01,athens,ΑΚΡΟΠΟΛΗ,2025-10,city_prophet_scaled_neighbourhood,True,7.914,7.8433,7.9856,8.0,96.0,-0.1333,-0.1333,1.0,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,athens,ΑΚΡΟΠΟΛΗ,2025-11,city_prophet_scaled_neighbourhood,True,6.4454,6.3727,6.5087,8.0,96.0,-0.1333,-0.1333,0.8,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,athens,ΑΚΡΟΠΟΛΗ,2025-12,city_prophet_scaled_neighbourhood,True,6.322,6.2513,6.3882,8.0,96.0,-0.1333,-0.1333,0.8,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,athens,ΑΚΡΟΠΟΛΗ,2026-01,city_prophet_scaled_neighbourhood,True,5.2365,5.1668,5.3055,8.0,96.0,-0.1333,-0.1333,0.65,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-02-01,athens,ΑΚΡΟΠΟΛΗ,2026-02,city_prophet_scaled_neighbourhood,True,5.5353,5.4667,5.6014,8.0,96.0,-0.1333,-0.1333,0.7,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,athens,ΑΚΡΟΠΟΛΗ,2026-03,city_prophet_scaled_neighbourhood,True,6.8336,6.7653,6.8995,8.0,96.0,-0.1333,-0.1333,0.85,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,athens,ΑΚΡΟΠΟΛΗ,2026-04,city_prophet_scaled_neighbourhood,True,7.9228,7.8514,7.9921,8.0,96.0,-0.1333,-0.1333,1.0,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,athens,ΑΚΡΟΠΟΛΗ,2026-05,city_prophet_scaled_neighbourhood,True,9.2237,9.1582,9.2921,8.0,96.0,-0.1333,-0.1333,1.15,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,athens,ΑΚΡΟΠΟΛΗ,2026-06,city_prophet_scaled_neighbourhood,True,9.9224,9.8573,9.9944,8.0,96.0,-0.1333,-0.1333,1.25,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,athens,ΑΚΡΟΠΟΛΗ,2026-07,city_prophet_scaled_neighbourhood,True,10.8193,10.7506,10.8912,8.0,96.0,-0.1333,-0.1333,1.35,0.998,347,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
